STATION,ZIPCODE
103 ST,10025
104 ST,11419
110 ST,10029
111 ST,11419
116 ST,10037
121 ST,11418
125 ST,10027
135 ST,10030
14 ST,10001
145 ST,10031
155 ST,10039
157 ST,10032
167 ST,10452
168 ST,10032
169 ST,11427
170 ST,10452
174 ST,10460
174-175 STS,10453
175 ST,10033
176 ST,10468
18 ST,10001
181 ST,10033
182-183 STS,10457
183 ST,10453
190 ST,10040
191 ST,10040
207 ST,10034
21 ST,11109
215 ST,10034
219 ST,10469
225 ST,10466
23 ST,10010
231 ST,10463
233 ST,10470
238 ST,10463
25 ST,11232
28 ST,10001
33 ST,10016
36 ST,11101
45 ST,11220
46 ST,11103
49 ST,10036
50 ST,10107
51 ST,10037
52 ST,11377
53 ST,11220
55 ST,11228
57 ST,10019
59 ST,11204
65 ST,11377
69 ST,11377
71 ST,11204
72 ST,10023
77 ST,10037
79 ST,10023
80 ST,11419
86 ST,10024
88 ST,11419
96 ST,10037
ASTOR PL,10003
BAY 50 ST,11224
BEACH 105 ST,11694
BEACH 25 ST,11691
BEACH 36 ST,11691
BEACH 44 ST,11692
BEACH 60 ST,11692
BEACH 67 ST,11692
BEACH 90 ST,11693
BEACH 98 ST,11693
BERGEN ST,11227
BEVERLY RD,11226
BLEECKER ST,10012
BOROUGH HALL,11201
BOTANIC GARDEN,11213
BOWERY,10002
BOWLING GREEN,10003
BRIGHTON BEACH,11235
BROAD CHANNEL,11693
BROAD ST,10004
BROADWAY,11211
BRONX PARK EAST,10462
CANAL ST,10013
CARROLL ST,11231
CHAMBERS ST,10007
CHAUNCEY ST,11233
CITY HALL,10003
CLARK ST,11201
CLEVELAND ST,11208
CORTELYOU RD,11226
CORTLANDT ST,10007
COURT SQ,11101
CRESCENT ST,11208
CYPRESS HILLS,11208
DYCKMAN ST,10040
E 149 ST,10458
E 180 ST,10460
EAST BROADWAY,10002
FORDHAM RD,10468
FOREST AVE,11385
FRANKLIN ST,10013
FREEMAN ST,10459
FRESH POND RD,11385
FULTON ST,11221
GRAND ST,11206
GUN HILL RD,10467
HALSEY ST,11221
HEWES ST,11211
HIGH ST,11201
HOUSTON ST,10014
HOYT ST,11207
JEFFERSON ST,11237
JUNCTION BLVD,11368
JUNIUS ST,11207
KINGS HWY,11223
KINGSBRIDGE RD,10468
KOSCIUSZKO ST,11207
LORIMER ST,11211
MIDDLETOWN RD,10461
MORRIS PARK,10462
MOSHOLU PKWY,10467
NECK RD,11229
NEVINS ST,11227
NORTHERN BLVD,11373
OCEAN PKWY,11235
PARKCHESTER,10472
PARSONS BLVD,11427
PELHAM BAY PARK,10461
PELHAM PKWY,10469
PRESIDENT ST,11213
PRINCE ST,10003
PROSPECT PARK,11225
QUEENSBORO PLZ,11101
RECTOR ST,10006
ROCKAWAY BLVD,11419
SENECA AVE,11385
SHEEPSHEAD BAY,11235
SIMPSON ST,10459
SOUTH FERRY,10004
SPRING ST,10012
STEINWAY ST,11101
STERLING ST,11203
SUTPHIN BLVD,11427
UNION ST,11217
VAN SICLEN AVE,11207
WALL ST,10003
WINTHROP ST,11203
WOODHAVEN BLVD,11417
WOODLAWN,10468
YORK ST,11201
